epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.874,0.92557,2.32311,1.40871,0.54135,0.57978,0.57812,0.40213,0.98651,1.91626,1.60001,0.000138652,0.000138652,0.000138652
2,244.192,0.99684,1.87844,1.44655,0.5873,0.60735,0.63659,0.40184,1.24383,1.74127,1.83125,0.000266657,0.000266657,0.000266657
3,359.516,1.02396,1.86985,1.46675,0.5236,0.54929,0.54769,0.32649,1.29567,1.83769,1.89712,0.000383654,0.000383654,0.000383654
4,474.458,1.00731,1.78488,1.44773,0.65089,0.58935,0.65762,0.43174,1.15829,1.57754,1.77477,0.00036746,0.00036746,0.00036746
5,589.096,0.97932,1.63151,1.42505,0.67203,0.68467,0.72693,0.51257,1.02741,1.33827,1.63611,0.000350947,0.000350947,0.000350947
6,703.123,0.9385,1.54822,1.39905,0.70308,0.72482,0.7468,0.52012,1.04166,1.26625,1.65148,0.000334434,0.000334434,0.000334434
7,816.323,0.89944,1.44614,1.3774,0.78675,0.68298,0.7807,0.57496,0.94866,1.15086,1.53751,0.000317921,0.000317921,0.000317921
8,929.967,0.87343,1.34439,1.34975,0.71518,0.70607,0.75778,0.55641,0.93564,1.21516,1.53586,0.000301408,0.000301408,0.000301408
9,1042.52,0.85148,1.27146,1.33574,0.78598,0.71494,0.79288,0.57635,0.92846,1.14534,1.4975,0.000284894,0.000284894,0.000284894
10,1155.79,0.82573,1.16353,1.31074,0.80317,0.78536,0.84915,0.64449,0.87444,0.9192,1.4504,0.000268381,0.000268381,0.000268381
11,1268.48,0.80014,1.12836,1.29885,0.80383,0.74789,0.83484,0.63696,0.84858,0.93391,1.4418,0.000251868,0.000251868,0.000251868
12,1379.22,0.76556,1.02728,1.26836,0.81775,0.79404,0.85744,0.66038,0.85758,0.8972,1.43317,0.000235355,0.000235355,0.000235355
13,1489.77,0.7707,1.00924,1.26613,0.82471,0.82127,0.87641,0.68114,0.82657,0.80432,1.39971,0.000218842,0.000218842,0.000218842
14,1599.79,0.7478,0.95799,1.2518,0.86255,0.78667,0.87208,0.68916,0.79343,0.8233,1.36627,0.000202328,0.000202328,0.000202328
15,1709.65,0.72519,0.92069,1.24119,0.81601,0.83231,0.88009,0.69144,0.79803,0.78531,1.36997,0.000185815,0.000185815,0.000185815
